bjb_rsj|Beijing HR & Social Security Bureau (北京市人社局)|municipal|24
xinxiang|新乡市|municipal|24
changdu|昌都市|municipal|24
bts|北屯市|municipal|24
whd_jiangan|Wuhan Jiang'an District (武汉江岸区)|district|23
jl_sthjt|Jilin Ecology & Environment Dept (吉林生态环境厅)|provincial|23
shb_sww|Shanghai Commerce Commission (上海市商务委)|municipal|23
huaihua|Huaihua (怀化市)|municipal|23
lasa|拉萨市|municipal|23
hn_sthjt|Hunan Ecology & Environment Dept (湖南生态环境厅)|provincial|22
shb_sfj|Shanghai Justice Bureau (上海市司法局)|municipal|22
yushu|Yushu (玉树藏族自治州)|municipal|22
ahsz|宿州市|municipal|22
fuxin|阜新市|municipal|22
cq_mzzjw|重庆市民族宗教事务委员会|provincial|21
safe|State Administration of Foreign Exchange (国家外汇管理局)|central|21
nia|National Immigration Administration (国家移民管理局)|central|21
hn_czt|Hunan Finance Dept (湖南财政厅)|provincial|21
ln_swt|Liaoning Commerce Dept (辽宁商务厅)|provincial|21
ln_jyt|Liaoning Education Dept (辽宁教育厅)|provincial|21
shb_mzj|Shanghai Civil Affairs Bureau (上海市民政局)|municipal|21
xz_tzcjj|Tibet Investment Promotion Bureau (西藏投资促进局)|provincial|20
sfa|National Forestry & Grassland Administration (国家林业和草原局)|central|20
ln_rst|Liaoning HR & Social Security Dept (辽宁人社厅)|provincial|20
shb_scjgj|Shanghai Market Supervision Administration (上海市市场监管局)|municipal|20
hunan|Hunan Province (湖南省)|provincial|19
sd_commerce|Shandong Commerce Dept (山东商务厅)|provincial|19
shb_jtw|Shanghai Transportation Commission (上海市交通委)|municipal|19
wuzhong|Wuzhong (吴忠市)|municipal|19
whd_jianghan|Wuhan Jianghan District (武汉江汉区)|district|18
jl_gxt|Jilin Industry & IT Dept (吉林工信厅)|provincial|18
tianmen|Tianmen (天门市)|municipal|18
xjht|和田地区|municipal|18
xz_tyjr|Tibet Veterans Affairs Dept (西藏退役军人事务厅)|provincial|17
neac|State Ethnic Affairs Commission (国家民委)|central|16
mva|Ministry of Veterans Affairs (退役军人事务部)|central|15
xz_mzt|Tibet Civil Affairs Dept (西藏民政厅)|provincial|15
spb|State Post Bureau (国家邮政局)|central|15
suihua|Suihua (绥化市)|municipal|14
jinan|Jinan (济南市)|municipal|13
cq_gbdsj|重庆市广播电视局|provincial|13
ln_sthj|Liaoning Ecology & Environment Dept (辽宁生态环境厅)|provincial|13
luan|六安市|municipal|13
bjb_czj|Beijing Finance Bureau (北京市财政局)|municipal|12
yueyang|岳阳市|municipal|12
ln_fgw|Liaoning DRC (辽宁发改委)|provincial|10
ln_kjt|Liaoning S&T Dept (辽宁科技厅)|provincial|10
bjb_ghzrzyw|Beijing Planning & Natural Resources Commission (北京市规划自然资源委)|municipal|10
pingliang|Pingliang (平凉市)|municipal|10
cq_sjj|重庆市审计局|provincial|9
weihai|Weihai (威海市)|municipal|9
cnsa|China National Space Administration (国家航天局)|central|8
mfa|Ministry of Foreign Affairs (外交部)|central|4
hegang|Hegang (鹤岗市)|municipal|3
mem|Ministry of Emergency Management (应急管理部)|central|2
sd_edu|Shandong Education Dept (山东教育厅)|provincial|2
jl_hrss|Jilin HR & Social Security Dept (吉林人社厅)|provincial|2
shb_sheitc|Shanghai Economy & Informatization Commission (上海市经信委)|municipal|2
yingkou|营口市|municipal|2
cctv|CCTV News (央视新闻)|media|1
cnr|China National Radio (央广网)|media|1
