rank,normalized_ref,demand,kind,target_level,citation_types,inferred_issuer,inferred_institution,inferred_site,coverage_status
263,深圳市教育局自行采购管理暂行办法,24,title,municipal,named:24+llm:1,,Shenzhen (深圳),sz,have
264,深圳市行政机关工作人员行政过错责任追究暂行办法,24,title,municipal,named:24,,Shenzhen (深圳),sz,have
265,网络餐饮服务经营者落实食品安全主体责任监督管理规定,24,title,unknown,named:24+llm:13,,unknown,,unknown
266,西藏自治区应用技术研究与开发专项资金管理办法,24,title,unknown,named:24+llm:9,藏财教,Tibet (西藏),xizang,have
267,银发〔2015〕309号,24,formal,unknown,formal:24,银发,People's Bank of China (人民银行),,have
268,阳发〔2009〕14号,24,formal,unknown,formal:24,阳发,Yangjiang (阳江),yangjiang,have
269,国家行政机关公文处理办法,23,title,central,named:23+llm:3,,unknown,,unknown
270,国科火字〔2022〕67号,23,formal,unknown,formal:23,国科火字,issuer:国科火字,,unknown
271,国统字〔2017〕213号,23,formal,unknown,formal:23,国统字,National Bureau of Statistics (国家统计局),,have
272,城市居住区规划设计标准,23,title,unknown,named:23+llm:1,,city:城市,,unknown
273,新能源汽车废旧动力电池回收和综合利用管理暂行办法,23,title,unknown,named:23+llm:5,,unknown,,unknown
274,深鹏办规〔2023〕9号,23,formal,unknown,formal:23,深鹏办规,Shenzhen (深圳),sz,have
275,科技型中小企业评价办法（国科发政〔2017〕115号）,23,title,unknown,llm:23,国科发政,Ministry of Science & Technology (科技部),,have
276,粤人社发〔2010〕382号,23,formal,unknown,formal:23,粤人社发,Guangdong (广东),gd,have
277,违反土地管理规定行为处分办法,23,title,unknown,named:23+llm:1,,unknown,,unknown
278,闽人社发〔2021〕1号,23,formal,unknown,formal:23,闽人社发,Fujian (福建),fujian,have
279,中国落实2030年可持续发展议程国别方案,22,title,unknown,named:22+llm:16,,unknown,,unknown
280,人工智能全球治理行动计划,22,title,unknown,named:22+llm:1,,unknown,,unknown
281,会计档案管理办法,22,title,unknown,named:22+llm:1,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
282,关于促进人才优先发展的若干措施,22,title,unknown,named:21+llm:1,,unknown,,unknown
283,关于深化中央财政科技计划（专项、基金等）管理改革的方案,22,title,unknown,named:22,,unknown,,unknown
284,危险化学品经营许可证管理办法,22,title,unknown,named:22+llm:3,,unknown,,unknown
285,国办发〔2005〕37号,22,formal,central,formal:22,国办发,State Council General Office (国务院办公厅),,have
286,国务院办公厅关于印发<政府信息公开信息处理费管理办法>的通知,22,title,central,named:22,,State Council General Office (国务院办公厅),,have
287,国发〔1997〕37号,22,formal,central,formal:22,国发,State Council (国务院),,have
288,国家积极应对人口老龄化中长期规划,22,title,central,named:20+llm:4,,unknown,,unknown
289,城市供水水质管理规定,22,title,unknown,named:22+llm:2,,city:城市,,unknown
290,广东省2023年考试录用公务员公告,22,title,provincial,named:22,,Guangdong (广东),gd,have
291,建设工程规划验收合格证,22,title,unknown,named:22,,unknown,,unknown
292,江发〔2009〕16号,22,formal,unknown,formal:22,江发,Jiangmen (江门),jiangmen,have
293,深圳市2022年服务“双区”建设专项招录公务员公告,22,title,municipal,named:22,,Shenzhen (深圳),sz,have
294,粤人社规〔2020〕33号,22,formal,unknown,formal:22,粤人社规,Guangdong (广东),gd,have
295,组建国家综合性消防救援队伍框架方案,22,title,central,named:22+llm:4,,unknown,,unknown
296,苏州市国有土地上房屋征收与补偿暂行办法,22,title,unknown,llm:22,,Suzhou (苏州),suzhou,have
297,藏科发〔2024〕322号,22,formal,unknown,formal:22,藏科发,Tibet (西藏),xizang,have
298,西藏自治区科技计划项目管理办法,22,title,unknown,named:22+llm:9,藏科发,Tibet (西藏),xizang,have
299,财政部国家税务总局工业和信息化部科技部关于免征新能源汽车车辆购置税的公告（2017年第172号）,22,title,central,llm:22,,Ministry of Finance (财政部),,have
300,食品补充检验方法工作规定,22,title,unknown,named:22+llm:9,,unknown,,unknown
301,中国共产党农村工作条例,21,title,unknown,named:21+llm:2,,unknown,,unknown
302,中国共产党支部工作条例（试行）,21,title,unknown,named:21+llm:2,,unknown,,unknown
303,企业国有资产交易监督管理办法,21,title,unknown,named:21+llm:8,,unknown,,unknown
304,公路建设市场管理办法,21,title,unknown,named:21+llm:1,,unknown,,unknown
305,关于建设工程招标投标改革的若干规定,21,title,unknown,named:21+llm:3,深府,Shenzhen (深圳),sz,have
306,农产品质量安全检测机构考核办法,21,title,unknown,named:21+llm:13,,unknown,,unknown
307,劳务派遣行政许可实施办法,21,title,unknown,named:21+llm:4,,unknown,,unknown
308,审政研发〔2015〕58号,21,formal,unknown,formal:21,审政研发,National Audit Office (审计署),,have
309,广东省火灾高风险区域和重大火灾隐患单位整治挂牌督办实施办法(试行),21,title,provincial,named:21+llm:6,粤消安,Guangdong (广东),gd,have
310,广东省用人单位重大劳动保障违法行为社会公布暂行规定,21,title,provincial,named:21+llm:4,,Guangdong (广东),gd,have
311,广州市政府信息公开规定,21,title,unknown,named:21,,Guangzhou (广州),gz,have
312,建设用地容积率管理规定,21,title,unknown,named:21+llm:2,,unknown,,unknown
313,教师资格条例,21,title,unknown,llm:20+named:1,,unknown,,unknown
314,根据财库〔2022〕3号,21,title,unknown,llm:21,根据财库,issuer:根据财库,,unknown
315,法治政府建设与责任落实督察工作规定,21,title,unknown,named:21+llm:3,,unknown,,unknown
316,消防监督检查规定,21,title,unknown,named:21+llm:2,,unknown,,unknown
317,深圳市水务发展资金管理办法,21,title,municipal,named:21+llm:6,深水务,Shenzhen (深圳),sz,have
318,科技型中小企业评价服务工作指引（国科火字〔2022〕67号）,21,title,unknown,llm:21,国科火字,issuer:国科火字,,unknown
319,闽工信函办〔2022〕595号,21,formal,unknown,formal:21,闽工信函办,Fujian (福建),fujian,have
320,闽政〔2023〕7号,21,formal,unknown,formal:21,闽政,Fujian (福建),fujian,have
321,上海市人民代表大会常务委员会关于本市促进和保障世博会筹备和举办工作的决定,20,title,unknown,named:20,,Shanghai (上海),sh,have
322,中共中央国务院关于推进价格机制改革的若干意见,20,title,central,named:25,,CPC Central Committee (中共中央),,party
323,中国共产党党组工作条例,20,title,unknown,named:20+llm:9,,unknown,,unknown
324,关于车辆生产企业及产品目录管理改革有关问题的通知,20,title,unknown,named:20,,unknown,,unknown
325,制造业绿色低碳发展行动方案（2025—2027年）,20,title,unknown,named:20+llm:1,,unknown,,unknown
326,危险性较大的分部分项工程安全管理规定,20,title,unknown,named:19+llm:2,,unknown,,unknown
327,国办发明电〔2014〕16号,20,formal,central,formal:20,国办发明电,State Council General Office (国务院办公厅),,have
328,国家功勋荣誉表彰条例,20,title,central,named:20+llm:4,,unknown,,unknown
329,字〔2013〕640号,20,formal,unknown,formal:20,字,issuer:字,,unknown
330,机动车登记工作规范,20,title,unknown,llm:20,,unknown,,unknown
331,残疾人就业条例,20,title,unknown,llm:20,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
332,江机编〔2009〕7号,20,formal,unknown,formal:20,江机编,Jiangmen (江门),jiangmen,have
333,环境空气质量标准（GB3095-2012）,20,title,unknown,llm:20,,unknown,,unknown
334,福建省省属事业单位公开招聘工作人员考试暂行办法,20,title,provincial,named:18+llm:8,闽人发,Fujian (福建),fujian,have
335,科技部事业单位人事管理办法,20,title,central,named:20+llm:2,,Ministry of Science & Technology (科技部),,have
336,粤发〔2008〕4号,20,formal,provincial,formal:20,粤发,Guangdong (广东),gd,have
337,粤国土资（建）字〔2013〕640号,20,title,unknown,llm:20,字,issuer:字,,unknown
338,粤金〔2009〕10号,20,formal,unknown,formal:20,粤金,Guangdong (广东),gd,have
339,联合办学学历学位评估意见书,20,title,unknown,named:20,,unknown,,unknown
340,计量基准管理办法,20,title,unknown,named:20+llm:7,,unknown,,unknown
341,高新技术企业认定管理工作指引（国科发火〔2016〕195号）,20,title,unknown,llm:20,国科发火,Ministry of Science & Technology (科技部),,have
342,中共中央国务院关于进一步做好下岗失业人员再就业工作的通知,19,title,central,named:19,,CPC Central Committee (中共中央),,party
343,中共中央国务院关于进一步深化电力体制改革的若干意见（中发〔2015〕9号）,19,title,central,llm:19,中发,CPC Central Committee (中共中央),,party
344,中华人民共和国消防救援衔条例,19,title,unknown,named:19+llm:2,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
345,乡村振兴战略规划(2018—2022年),19,title,unknown,named:19+llm:5,,unknown,,unknown
346,人民币银行结算账户管理办法,19,title,unknown,named:19,,unknown,,unknown
347,以及财关税〔2021〕4号,19,formal,unknown,formal:19,以及财关税,issuer:以及财关税,,unknown
348,优抚对象住房优待办法,19,title,unknown,named:19+llm:1,,unknown,,unknown
349,会计师事务所执业许可和监督管理办法,19,title,unknown,named:19+llm:3,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
350,保险资金运用管理办法,19,title,unknown,named:19+llm:13,,unknown,,unknown
351,全民健身计划纲要,19,title,unknown,named:19,,unknown,,unknown
352,关于促进科技创新的若干措施,19,title,unknown,named:24,,unknown,,unknown
353,医疗卫生机构医疗废物管理办法,19,title,unknown,named:19+llm:1,,unknown,,unknown
354,医疗广告管理办法,19,title,unknown,named:19+llm:1,,unknown,,unknown
355,国函〔2002〕120号,19,formal,central,formal:19,国函,State Council (国务院),,have
356,国务院办公厅印发<关于全面推进政务公开工作的意见>实施细则的通知,19,title,central,named:19+llm:2,国办发,State Council General Office (国务院办公厅),,have
357,国发〔2006〕31号,19,formal,central,formal:19,国发,State Council (国务院),,have
358,国家公务员暂行条例,19,title,central,named:19,,unknown,,unknown
359,国家发展改革委关于完善车辆生产企业及产品公告管理有关事项的通知,19,title,central,named:19,,NDRC (国家发改委),,have
360,国家海上搜救应急预案,19,title,central,llm:19,,unknown,,unknown
361,国家税务总局公告2021年第25号,19,title,central,llm:19,,State Taxation Administration (税务总局),,have
362,城市建筑垃圾管理规定,19,title,unknown,named:19+llm:4,,city:城市,,unknown
363,广东省2022年考试录用公务员公告,19,title,provincial,named:19,,Guangdong (广东),gd,have
364,广东省2025年度选调优秀大学毕业生公告,19,title,provincial,named:19+llm:1,,Guangdong (广东),gd,have
365,广东省事业单位2020年集中公开招聘高校应届毕业生公告,19,title,provincial,named:19,,Guangdong (广东),gd,have
366,广东省人民政府职能转变和机构改革方案,19,title,provincial,named:19,,Guangdong (广东),gd,have
367,广东省政府信息公开申请办理答复规范,19,title,provincial,llm:19,,Guangdong (广东),gd,have
368,最低工资规定（原劳动保障部令第21号）,19,title,unknown,llm:19,,unknown,,unknown
369,机动车强制报废规定,19,title,unknown,named:19+llm:14,,unknown,,unknown
370,深圳市大鹏新区政府投资项目前期工作中心政府投资项目技术服务管理办法（2023年修订）,19,title,district,named:19+llm:6,深鹏发财,Shenzhen (深圳),sz,have
371,深圳市鼓励总部企业发展实施办法,19,title,municipal,named:19,,Shenzhen (深圳),sz,have
372,省工信厅采购管理暂行规定,19,title,provincial,named:19+llm:3,,unknown,,unknown
373,粤发〔2013〕9号,19,formal,provincial,formal:19,粤发,Guangdong (广东),gd,have
374,非主要农作物品种登记办法,19,title,unknown,named:19+llm:4,,unknown,,unknown
375,食品安全国家标准 粉状婴幼儿配方食品良好生产规范,19,title,central,named:19+llm:13,,unknown,,unknown
376,高新技术企业认定管理办法（国科发火〔2016〕32号）,19,title,unknown,llm:19,国科发火,Ministry of Science & Technology (科技部),,have
377,鲁政办发〔2016〕23号,19,formal,unknown,formal:19,鲁政办发,Shandong (山东),shandong,have
378,中共中央国务院关于加强耕地保护和改进占补平衡的意见,18,title,central,named:18+llm:2,,CPC Central Committee (中共中央),,party
379,中国儿童发展纲要（2021—2030年）,18,title,unknown,named:18+llm:4,,unknown,,unknown
380,中国共产党政法工作条例,18,title,unknown,named:18+llm:3,,unknown,,unknown
381,倾销及倾销幅度期中复审暂行规则,18,title,unknown,llm:18,,unknown,,unknown
